cov,sgn,lambda,drop,npg,H,delta_t,lambda_e_un,delta_un,SE_mod_un,SE_rob_un,SE_mod_adj_un,SE_rob_adj_un,SD_delta_un,cp_mod_un,cp_rob_un,cp_mod_adj_un,cp_rob_adj_un,power_mod_un,power_rob_un,power_mod_adj_un,power_rob_adj_un,conv_un,lambda_e_cs,delta_cs,SE_mod_cs,SE_rob_cs,SE_mod_adj_cs,SE_rob_adj_cs,SD_delta_cs,cp_mod_cs,cp_rob_cs,cp_mod_adj_cs,cp_rob_adj_cs,power_mod_cs,power_rob_cs,power_mod_adj_cs,power_rob_adj_cs,conv_cs,delta_cca,cp_cca,power_cca,delta_locf,cp_locf,power_locf,power_mmrm,power_mmrm_l,power_mmrm_t
1,-1,-0.5,0,50,0,0,-0.447208607,-0.004420379,15.31647981,15.32008574,15.55152904,15.55519031,15.46337467,95.0690138,95.0190038,95.69913983,95.73914783,4.930986197,4.980996199,4.300860172,4.26085217,99.98,-0.480811514,0.014081469,12.93132239,14.79593216,13.08488037,14.97163217,14.97392798,91.39,94.94,91.94,95.36,8.61,5.06,8.06,4.64,100,0.04628607,95.81,4.19,-0.012264759,84.79847985,15.20152015,3.66,4.71,4.99
1,-1,-0.5,0.3,50,0,0,-0.450543855,-0.283611764,19.01850952,19.02366471,19.44295949,19.44822247,19.34304371,95.75872762,95.68870661,96.58897669,96.55896769,4.241272382,4.311293388,3.411023307,3.44103231,99.97,-0.479071952,-0.282626925,14.95778082,17.99480688,15.17678946,18.25834804,18.38178537,90.39,95.57,91.23,96.06,9.61,4.43,8.77,3.94,100,-0.261488594,96.03,3.97,-0.040265893,83.16326531,16.83673469,3.66,4.52,4.7
1,-1,-0.5,0.5,50,0,0,-0.453194151,0.043001684,23.20170409,23.20601553,23.94606451,23.95048374,23.92039709,95.63,95.73,96.91,96.91,4.37,4.27,3.09,3.09,100,-0.47270018,0.041319171,17.24841683,21.46796205,17.54840407,21.84146913,22.18087602,89.13,95.43,90.23,96.14,10.87,4.57,9.77,3.86,100,0.092427099,96.79,3.21,0.038751301,81.17058529,18.82941471,4.36,5.17,4.96
1,-1,0,0,50,0,0,0.011348284,0.058655746,16.32942969,16.31219248,16.58002382,16.56252208,16.56618924,94.93,94.88,95.54,95.51,5.07,5.12,4.46,4.49,100,-0.032272978,0.031890043,13.35890858,15.86500236,13.5175441,16.05339745,16.19927576,89.87,94.82,90.67,95.19,10.13,5.18,9.33,4.81,100,-0.017756795,95.58955896,4.410441044,0.049708129,84.20842084,15.79157916,4.65,4.82,4.82
1,-1,0,0.3,50,0,0,0.011983276,0.056566856,19.4705552,19.45638481,19.90504727,19.89057353,19.90518788,94.41,94.46,95.4,95.42,5.59,5.54,4.6,4.58,100,-0.017092104,0.034368902,14.82105355,18.49885491,15.03438075,18.76518017,19.01787112,87.76,94.39,88.56,94.92,12.24,5.61,11.44,5.08,100,-0.006238898,95.67,4.33,-0.128421098,82.84313725,17.15686275,4.66,5.31,5.31
1,-1,0,0.5,50,0,0,0.010618469,-0.018905793,22.86842177,22.84128188,23.60111098,23.5730905,23.54653099,94.83,94.82,96.21,96.16,5.17,5.18,3.79,3.84,100,-0.003517285,0.082799489,16.55954805,21.32953014,16.83942336,21.69015864,22.13473601,86.7,94.61,87.76,95.18,13.3,5.39,12.24,4.82,100,0.124228074,95.89,4.11,-0.034717007,81.14360104,18.85639896,4.55,5.06,5.06
1,-1,0.5,0,50,0,0,0.476000355,-0.216029004,16.57950461,16.57514554,16.83393643,16.82951046,17.10590359,93.88,93.88,94.54,94.56,6.12,6.12,5.46,5.44,100,0.445285549,-0.202166871,13.31777081,16.34099586,13.47591782,16.53504332,16.93712441,87.74,93.86,88.41,94.35,12.26,6.14,11.59,5.65,100,-0.193151562,94.96,5.04,-0.097351028,83.66,16.34,5.24,5.33,5.64
1,-1,0.5,0.3,50,0,0,0.47339831,0.202189133,19.35080104,19.35108801,19.78239555,19.78269864,19.80635597,94.34,94.29,95.16,95.13,5.66,5.71,4.84,4.87,100,0.45901199,0.187313981,14.55468213,18.7331214,14.7623844,19.00051364,19.25243408,86.38,94.16,87.2,94.58,13.62,5.84,12.8,5.42,100,0.12213128,95.17,4.83,0.057031181,82.58,17.42,4.86,5.12,5.13
1,-1,0.5,0.5,50,0,0,0.470289065,-0.070007984,22.41701868,22.4045115,23.13484723,23.12195279,22.92220004,94.57945795,94.56945695,95.71957196,95.76957696,5.420542054,5.430543054,4.280428043,4.230423042,99.99,0.470141758,-0.04229798,16.10060085,21.44376346,16.36891434,21.80126711,21.96068343,84.65,94.34,85.96,94.98,15.35,5.66,14.04,5.02,100,0.029818954,95.92,4.08,-0.077341855,81.08,18.92,5.04,4.55,4.84
1,-1,-0.5,0,50,1,0,-0.442012942,0.044144574,15.34412429,15.3449743,15.57959775,15.58046081,15.72615194,95.12951295,95.12951295,95.60956096,95.70957096,4.870487049,4.870487049,4.390439044,4.290429043,99.99,-0.493096254,0.042097352,12.88594774,14.71872665,13.0389669,14.89350985,15.12042542,91.57,95.1,92.14,95.41,8.43,4.9,7.86,4.59,100,0.066205466,95.79957996,4.200420042,-11.60690453,53.10062012,46.89937988,3.61,5.13,4.96
1,-1,-0.5,0.3,50,1,0,-0.446895289,-1.068287994,18.59017648,18.60220065,18.9871719,18.99945686,19.10730565,95.26905381,95.30906181,96.19923985,96.13922785,4.730946189,4.690938188,3.800760152,3.860772154,99.98,-0.497678309,-0.565683062,14.65341254,17.5368213,14.86305755,17.78777282,18.07714434,89.98,95.2,90.84,95.67,10.02,4.8,9.16,4.33,100,1.25106908,96.16,3.84,-14.68436865,35.5906772,64.4093228,4.71,5.4,5.24
